iter	Passed	Remaining
867	1828	278
868	1830	275
869	1832	273
870	1834	271
871	1836	269
872	1837	267
873	1839	265
874	1841	263
875	1843	260
876	1845	258
877	1847	256
878	1849	254
879	1850	252
880	1852	250
881	1854	248
882	1856	246
883	1858	243
884	1860	241
885	1862	239
886	1864	237
887	1865	235
888	1867	233
889	1870	231
890	1872	229
891	1873	226
892	1875	224
893	1878	222
894	1880	220
895	1881	218
896	1883	216
897	1885	214
898	1887	212
899	1888	209
900	1890	207
901	1891	205
902	1893	203
903	1895	201
904	1897	199
905	1898	197
906	1900	194
907	1902	192
908	1904	190
909	1905	188
910	1907	186
911	1909	184
912	1910	182
913	1912	179
914	1914	177
915	1916	175
916	1917	173
917	1919	171
918	1921	169
919	1922	167
920	1924	165
921	1926	162
922	1928	160
923	1929	158
924	1931	156
925	1933	154
926	1935	152
927	1936	150
928	1938	148
929	1940	146
930	1942	143
931	1943	141
932	1945	139
933	1946	137
934	1948	135
935	1950	133
936	1951	131
937	1953	129
938	1954	126
939	1956	124
940	1958	122
941	1959	120
942	1961	118
943	1963	116
944	1964	114
945	1966	112
946	1967	110
947	1969	108
948	1971	105
949	1973	103
950	1974	101
951	1976	99
952	1978	97
953	1979	95
954	1981	93
955	1982	91
956	1984	89
957	1986	87
958	1987	84
959	1989	82
960	1990	80
961	1992	78
962	1994	76
963	1995	74
964	1997	72
965	1998	70
966	2000	68
967	2002	66
968	2003	64
969	2005	62
970	2006	59
971	2008	57
972	2010	55
973	2011	53
974	2013	51
975	2014	49
976	2016	47
977	2018	45
978	2019	43
979	2021	41
980	2022	39
981	2024	37
982	2026	35
983	2027	32
984	2029	30
985	2031	28
986	2033	26
987	2034	24
988	2035	22
989	2037	20
990	2039	18
991	2040	16
992	2042	14
993	2043	12
994	2045	10
995	2048	8
996	2050	6
997	2051	4
998	2054	2
999	2056	0
